"Numero_Fiche";"Bloc_Competences_Code";"Bloc_Competences_Libelle"
"RNCP36627";"RNCP36627BC02";"Rédiger et suivre les contrats et documents légaux "
"RNCP36627";"RNCP36627BC05";"Manager et animer une équipe juridique"
"RNCP36627";"RNCP36627BC01";"Informer et conseiller la direction générale sur des problématiques juridiques "
"RNCP36627";"RNCP36627BC04";"Gérer la veille juridique pour accompagner la prise de décision"
"RNCP36627";"RNCP36627BC03";"Prévenir et gérer les contentieux "
"RNCP36628";"RNCP36628BC02";"Gestion des déclarations sociales et des relations avec les organismes sociaux"
"RNCP36628";"RNCP36628BC04";"Communication, information et conseil juridique auprès des collaborateurs"
"RNCP36628";"RNCP36628BC01";"Gestion de la paie"
"RNCP36628";"RNCP36628BC03";"Gestion et administration des dossiers du personnel"
"RNCP36629";"RNCP36629BC03";"Créer son cabinet, développer et pérenniser son portefeuille client privé ou professionnel"
"RNCP36629";"RNCP36629BC01";"Analyser et diagnostiquer les besoins du client en matière de gestion de patrimoine privé ou professionnel"
"RNCP36629";"RNCP36629BC02";"Conseiller et commercialiser des montages d’ingénierie patrimoniale privée ou professionnelle"
"RNCP36629";"RNCP36629BC04";"Suivre les réglementations et les procédures d’éthique et de déontologie financières en matière de conseil patrimonial privé ou professionnel"
"RNCP36630";"RNCP36630BC03";"Contrôle de gestion et suivi de la performance financière"
"RNCP36630";"RNCP36630BC02";"Gestion comptable et administrative"
"RNCP36630";"RNCP36630BC04";"Conduite de mission, gestion d’activités et coordination d’équipe"
"RNCP36630";"RNCP36630BC01";"Coordination et mise en œuvre du dispositif de contrôle interne "
"RNCP36631";"RNCP36631BC02";"Pilotage des opérations logistiques nationales et internationales "
"RNCP36631";"RNCP36631BC04";"Management des ressources humaines et des relations internes et externes "
"RNCP36631";"RNCP36631BC03";"Amélioration de l’organisation et de la performance logistique "
"RNCP36631";"RNCP36631BC01";"Conception de la stratégie logistique au niveau national et à l’international en cohérence avec la stratégie globale de l’organisation "
"RNCP36632";"RNCP36632BC02";"Gestion administrative du secrétariat médical"
"RNCP36632";"RNCP36632BC03";"Appui technique et opérationnel à l'équipe et au service / établissement "
"RNCP36632";"RNCP36632BC01";"Accueil, information et orientation dans un service médical ou médicosocial"
"RNCP36633";"RNCP36633BC03";"Management opérationnel de la Qualité et de la Sécurité"
"RNCP36633";"RNCP36633BC04";"Mise en œuvre et pilotage d’un système de management de l’environnement "
"RNCP36633";"RNCP36633BC05";"Contrôle, évaluation et amélioration continue des processus QHSE"
"RNCP36633";"RNCP36633BC06";"Elaboration et pilotage de la politique RSE de l’organisation "
"RNCP36633";"RNCP36633BC01";"Bloc 1: Elaboration et négociation de la politique QHSE "
"RNCP36633";"RNCP36633BC02";"Elaboration et déploiement du système de management QHSE "
"RNCP36634";"RNCP36634BC04";"Maitriser les techniques d’audit et d’ingénierie applicables à la dépollution pyrotechnique"
"RNCP36634";"RNCP36634BC01";"Manager une organisation pour conduire et piloter un projet de dépollution pyrotechnique ou de déminage sur un site pollué"
"RNCP36634";"RNCP36634BC02";"Identifier, évaluer et maitriser les risques dans la conduite des opérations de dépollution pyrotechnique ou de déminage"
"RNCP36634";"RNCP36634BC03";"Maitriser les composantes de la pyrotechnie, des matériaux énergétiques de défense, des restes explosifs de guerre et de l’action contre les mines"
"RNCP36635";"RNCP36635BC01";" Assurer la réception et l'orientation des déchets, matières et produits  "
"RNCP36635";"RNCP36635BC05";"Entretenir et maintenir les unités / équipements de travail (Maintenance 1er niveau)"
"RNCP36635";"RNCP36635BC02";"Préparer son poste de travail"
"RNCP36635";"RNCP36635BC04";"Réaliser les opérations de traitement simple, conditionnement et stockage des déchets, matières et produits  "
"RNCP36635";"RNCP36635BC03";"Réaliser les opérations de tri, démantèlement et traitement"
"RNCP36636";"RNCP36636BC02";"Piloter le déploiement de la communication globale de l'organisation "
"RNCP36636";"RNCP36636BC04";"Contrôler et évaluer la performance de la stratégie communication"
"RNCP36636";"RNCP36636BC05";"Accompagnement du développement des individus dans une logique de management de proximité"
"RNCP36636";"RNCP36636BC01";"Définir une stratégie de communication à partir d'un diagnostic interne/externe"
"RNCP36636";"RNCP36636BC03";"Déployer une action de communication"
"RNCP36637";"RNCP36637BC03";"Participer à la définition de la stratégie financière "
"RNCP36637";"RNCP36637BC02";"Piloter la performance opérationnelle de l’entreprise "
"RNCP36637";"RNCP36637BC04";"Pilotage de la mise en œuvre de la stratégie financière"
"RNCP36637";"RNCP36637BC01";"Créer, paramétrer et développer un système d’information et de gestion comptable et financière"
"RNCP36638";"RNCP36638BC02";"Mettre en place des protocoles qui garantissent l’hygiène et la sécurité alimentaire "
"RNCP36638";"RNCP36638BC01";"Produire et distribuer des repas dans le cadre d'une restauration collective"
"RNCP36638";"RNCP36638BC06";"Prendre part à l’optimisation du service restauration et au projet d’établissement"
"RNCP36638";"RNCP36638BC05";"Encadrer, animer une équipe et favoriser la santé, la sécurité et le bien-être au travail"
"RNCP36638";"RNCP36638BC03";"Concevoir et proposer des prestations de restauration contribuant au bien-être et à la santé"
"RNCP36638";"RNCP36638BC04";"Organiser et gérer les approvisionnements, la production et la distribution dans le contexte local"
"RNCP36639";"RNCP36639BC05";"Promouvoir des projets culturels par la mise en œuvre d’une stratégie de communication"
"RNCP36639";"RNCP36639BC03";"Développer les publics et les démarches de médiation"
"RNCP36639";"RNCP36639BC02";"Concevoir, organiser et mettre en œuvre des projets culturels et évènementiels (spectacle, exposition, festival, évènement commémoratif, valorisation du patrimoine)"
"RNCP36639";"RNCP36639BC01";"Accompagner des porteur.euse.s de projets culturels (associations, entreprises culturelles, collectivités territoriales) dans la conception et la recherche de financements de leurs actions "
"RNCP36639";"RNCP36639BC04";"Développer les dimensions sociales, participatives et environnementales dans la construction des projets culturels"
"RNCP36640";"RNCP36640BC01";"Développer le potentiel commercial  international sur sa zone"
"RNCP36640";"RNCP36640BC02";"Mettre en œuvre la stratégie de développement international sur sa zone"
"RNCP36640";"RNCP36640BC03";"Manager l’administration des achats et des ventes à l’international"
"RNCP36640";"RNCP36640BC04";"Piloter l’activité internationale de sa zone dans une démarche responsable"
"RNCP36641";"RNCP36641BC01";"Conception d'un projet de création graphique"
"RNCP36641";"RNCP36641BC02";"Réalisation des illustrations, des dessins, de la BD"
"RNCP36641";"RNCP36641BC03";"Développement d’une activité d’illustrateur, de dessinateur, d’auteur de BD"
"RNCP36642";"RNCP36642BC05";"Surveillance de l'application des règles de sécurité lors des travaux réalisés dans le périmètre du poste"
"RNCP36642";"RNCP36642BC04";"Mise à disposition des équipements  pour travaux"
"RNCP36642";"RNCP36642BC03";"Echantillonnage"
"RNCP36642";"RNCP36642BC02";"Opération des installations"
"RNCP36642";"RNCP36642BC01";"Surveillance du fonctionnement des installations"
"RNCP36643";"RNCP36643BC02";"Réalisation du raccordement des conducteurs THD pour permettre le transport des informations Très Haut Débit"
"RNCP36643";"RNCP36643BC03";"Réalisation du raccordement chez le client"
"RNCP36643";"RNCP36643BC01";"Préparation de son chantier, prise de connaissance de son environnement et des consignes des chantiers réseaux THD"
"RNCP36644";"RNCP36644BC02";"Préparer des viandes de boucherie destinées à la vente à l’étal dans le respect des règles d’hygiène et de sécurité alimentaire"
"RNCP36644";"RNCP36644BC03";"Fabriquer tout ou partie des produits de charcuterie et de traiteur dans le respect des règles d’hygiène et de sécurité alimentaire"
"RNCP36644";"RNCP36644BC04";"Assurer la vente, la commercialisation et la relation-clientèle de produits de boucherie et/ou de charcuterie-traiteur"
"RNCP36644";"RNCP36644BC01";"Préparer et organiser son travail en fonction du planning  de production en boucherie ou en charcuterie-traiteur"
"RNCP36645";"RNCP36645BC01";"Assurer le montage et le suivi pédagogiques, administratifs et financiers d’une action ou d’un dispositif de formation"
"RNCP36645";"RNCP36645BC06";"Animer la réflexion pédagogique au sein d’un organisme de formation"
"RNCP36645";"RNCP36645BC05";"Conseiller et appuyer la direction d’un organisme de formation dans la définition et la mise en œuvre de sa politique"
"RNCP36645";"RNCP36645BC02";"Manager les équipes intervenant dans une action ou un dispositif de formation"
"RNCP36645";"RNCP36645BC03";"Analyser des besoins et proposer une offre de formation adaptée"
"RNCP36645";"RNCP36645BC04";"Concevoir et évaluer un dispositif de formation, éventuellement multimodal et certifiant"
"RNCP36646";"RNCP36646BC02";"Management de la supply chain."
"RNCP36646";"RNCP36646BC01";"Direction d’exploitation d’une entreprise ou d’une activité de transport de marchandises."
"RNCP36646";"RNCP36646BC03";"Pilotage d’un entrepôt/d’une plateforme logistiques projets."
"RNCP36646";"RNCP36646BC04";"Management des ressources humaines et des projets."
"RNCP36647";"RNCP36647BC03";"Piloter les opérations de traitement et de transfert des risques"
"RNCP36647";"RNCP36647BC04";"Diffuser la culture de gestion des risques"
"RNCP36647";"RNCP36647BC05";"Piloter l’amélioration de la gestion des risques"
"RNCP36647";"RNCP36647BC01";"Diagnostiquer les vulnérabilités et opportunités de l’organisation"
"RNCP36647";"RNCP36647BC02";"Définir un plan de traitement et de transfert multirisques "
"RNCP36649";"RNCP36649BC02";"Mettre en œuvre la stratégie marketing et communication dans la filière des vins et spiritueux"
"RNCP36649";"RNCP36649BC01";"Définir un positionnement commercial dans la filière des vins et spiritueux dans un environnement digitalisé "
"RNCP36649";"RNCP36649BC03";"Prospecter de nouveaux clients dans la filière des vins et spiritueux"
"RNCP36649";"RNCP36649BC04";"Animer dans un point de vente du secteur des vins et spiritueuxAnimer dans un point de vente du secteur des vins et spiritueux"
"RNCP36650";"RNCP36650BC04";"BLOC 4- METTRE EN OEUVRE ET PILOTER LE PLAN DE COMMUNICATION OFF ET/OU ONLINE "
"RNCP36650";"RNCP36650BC03";"BLOC 3- CONCEVOIR LE PLAN DE COMMUNICATION ONLINE "
"RNCP36650";"RNCP36650BC01";"BLOC 1- ÉLABORER LE BRIEF DE COMMUNICATION OFF ET/OU ONLINE"
"RNCP36650";"RNCP36650BC02";"BLOC 2- CONCEVOIR LE PLAN DE COMMUNICATION OFFLINE "
"RNCP36651";"RNCP36651BC03";" Coordonner et mettre en œuvre les mesures d'hygiène et de sécurité"
"RNCP36651";"RNCP36651BC04";"Accompagner et aider le vétérinaire aux soins vétérinaires"
"RNCP36651";"RNCP36651BC05";"Conseiller les clients en comportement animal"
"RNCP36651";"RNCP36651BC01";"Gérer la relation client"
"RNCP36651";"RNCP36651BC02";"Gérer les procédures administratives"
"RNCP36652";"RNCP36652BC04";"Bloc de compétences 4 – Piloter un projet de formation"
"RNCP36652";"RNCP36652BC01";"Bloc de compétences 1 - Analyser les besoins en compétences et les offres existantes pour mettre en place un parcours de formation certifiant"
"RNCP36652";"RNCP36652BC02";"Bloc de compétences 2 – Concevoir le parcours pédagogique et les ressources correspondantes"
"RNCP36652";"RNCP36652BC03";"Bloc de compétences 3 – Garantir la qualité et l’amélioration continue d’un parcours de formation"
"RNCP36653";"RNCP36653BC02";"Développement informatisé de modèles de vêtements féminins"
"RNCP36653";"RNCP36653BC01";"Réalisation de patronnage et mise au point de modèles de vêtements féminins"
"RNCP36655";"RNCP36655BC01";"Bloc n°1 : Mettre en oeuvre un dispositif de captation, d'enregistrement et de diffusion des sons"
"RNCP36655";"RNCP36655BC02";"Post-produire des sons"
"RNCP36655";"RNCP36655BC03";"Concevoir des solutions techniques audio pour la réalisation d'un programme audiovisuel"
"RNCP36655";"RNCP36655BC04";"Concevoir et réaliser un projet de création sonore"
"RNCP36656";"RNCP36656BC03";"Réaliser des travaux de raccordement"
"RNCP36656";"RNCP36656BC02";"Dérouler et tirer des câbles de fibre optique"
"RNCP36656";"RNCP36656BC01";"Organiser son intervention de raccordement de fibre optique de la préparation au repli"
"RNCP36657";"RNCP36657BC01";"Concevoir et négocier une politique de gestion des risques sanitaires et sa transcription juridique dans une démarche de santé globale"
"RNCP36657";"RNCP36657BC02";"Mettre en œuvre une politique de gestion des risques sanitaires et/ou de crises sanitaires"
"RNCP36657";"RNCP36657BC03";"Assurer la conformité réglementaire des produits et/ou activités"
"RNCP36658";"RNCP36658BC01";"Réaliser un diagnostic global patrimonial et financier du client en mobilisant des techniques de gestion de portefeuille et mesure de performance"
"RNCP36658";"RNCP36658BC05";"Manager et améliorer la performance d'une équipe de conseillers en exploitant l'information juridique, économique et financière nécessaire a la prise de décision dans un contexte de gestion patrimoniale et financier"
"RNCP36658";"RNCP36658BC04";"Mettre en œuvre et coordonner les activités de l'équipe en assurant une veille informationnelle sur l'environnement socioprofessionnel, juridique, économique et financier dans le cadre de l'activité"
"RNCP36658";"RNCP36658BC02";"Élaborer, selon les objectifs et les besoins du client, des préconisations en mobilisant des techniques juridiques, fiscales et financières pertinentes dans un contexte de gestion patrimoniale et financière"
"RNCP36658";"RNCP36658BC03";"Prospecter, développer et fidéliser un portefeuille client"
"RNCP36659";"RNCP36659BC03";"Réaliser seul ou avec son équipe un ouvrage de garniture (option 1) "
"RNCP36659";"RNCP36659BC01";"Élaborer une offre technique et commerciale d'un projet de tapisserie-décoration "
"RNCP36659";"RNCP36659BC02";"Participer à l'organisation des ressources humaines et matérielles de l'atelier de production de tapisserie-décoration "
"RNCP36659";"RNCP36659BC04";"Réaliser seul ou avec son équipe un ouvrage de coupe et de couture (option 2)"
"RNCP36659";"RNCP36659BC05";"Participer au développement commercial et marketing de l'entreprise de tapisserie-décoration"
"RNCP36660";"RNCP36660BC05";"Réaliser une intervention de maintenance préventive et corrective de chauffage, ventilation, climatisation et d’un système sanitaire (Option 2)"
"RNCP36660";"RNCP36660BC03";"Organiser et suivre une intervention (installation de génie climatique, de maintenance d’un système de génie climatique et installation d’un système sanitaire)"
"RNCP36660";"RNCP36660BC04";"Réaliser une intervention d’installation de génie climatique et d’un système sanitaire (Option 1)"
"RNCP36660";"RNCP36660BC01";"Participer au développement de l’offre de commercialisation des installations de chauffage, sanitaire et de la maintenance thermique de l’entreprise"
"RNCP36660";"RNCP36660BC02";"Organiser l’activité d’une équipe dans le domaine des installations de chauffage, sanitaire et de la maintenance thermique de l’entreprise"
"RNCP36661";"RNCP36661BC03";"Préparation et animation de cycles de séances  de loisir sportif dans le domaine des activités de randonnée de proximité et d’orientation ( option 3)"
"RNCP36661";"RNCP36661BC05";"Conduite de son parcours professionnel dans le domaine des activités physiques et sportives "
"RNCP36661";"RNCP36661BC01";"Préparation et animation de cycles de séances  de loisir sportif dans le domaine des jeux sportifs et jeux d’opposition ( Option 1) "
"RNCP36661";"RNCP36661BC04";"Organisation, information et communication autour de ses activités d’animation et d’encadrement physique et sportif "
"RNCP36661";"RNCP36661BC02";"Préparation et animation de cycles de séances  de loisir sportif dans le domaine des activités gymniques d’entretien et d’expression ( option 2) "
"RNCP36662";"RNCP36662BC03";"Développement commercial et management d’une équipe au sein d’une agence immobilière"
"RNCP36662";"RNCP36662BC05";"Option n°2 : Gestion et optimisation d’un portefeuille de copropriétés"
"RNCP36662";"RNCP36662BC06";"Option n°3 : Pilotage d’une opération de promotion immobilière, de sa conception à sa commercialisation "
"RNCP36662";"RNCP36662BC01";"Réalisation d’une activité de transaction ou de gestion immobilière dans le respect des règles de droit  "
"RNCP36662";"RNCP36662BC02";"Accompagnement et optimisation fiscale du patrimoine immobilier d’un client "
"RNCP36662";"RNCP36662BC04";"Option n°1 : Développement d’un portefeuille de biens en identifiant leur potentiel commercial "
"RNCP36663";"RNCP36663BC04";"Piloter l’évaluation et le contrôle de la qualité de dispositifs de formation innovants et inclusifs"
"RNCP36663";"RNCP36663BC01";"Elaborer une stratégie d’offre de services adaptée à l’écosystème évolutif de la formation et de l’enseignement"
"RNCP36663";"RNCP36663BC02";"Manager la conception de projets de formation innovants et inclusifs"
"RNCP36663";"RNCP36663BC03";"Manager l’animation et le suivi de dispositifs de formation innovants et inclusifs"
"RNCP36664";"RNCP36664BC02";"Élaborer la stratégie d’innovation"
"RNCP36664";"RNCP36664BC04";"Manager des projets d’innovation"
"RNCP36664";"RNCP36664BC05";"Financer et piloter l’innovation et  la performance dans une démarche entrepreneuriale"
"RNCP36664";"RNCP36664BC01";"Définir la stratégie d’entreprise"
"RNCP36664";"RNCP36664BC03";"Construire le marketing de l’innovation dans une logique de « business development » à l'ère du digital"
"RNCP36666";"RNCP36666BC03";"Concevoir et piloter les relations sociales individuelles et collectives"
"RNCP36666";"RNCP36666BC04";"Manager les équipes et accompagner les projets RH"
"RNCP36666";"RNCP36666BC01";"Concevoir la stratégie des ressources humaines"
"RNCP36666";"RNCP36666BC02";"Organiser et piloter la gestion des ressources humaines "
"RNCP36667";"RNCP36667BC03";"Gérer des projets dans le cadre d’un événement sportif local, national ou international"
"RNCP36667";"RNCP36667BC06";"Concevoir, réaliser et exécuter des plans de communication dans le secteur sportif"
"RNCP36667";"RNCP36667BC05";"Concevoir et mettre en œuvre des stratégies marketing et sponsoring dans le Sport"
"RNCP36667";"RNCP36667BC01";"Définir les orientations stratégiques de l’organisation sportive dans un environnement complexe"
"RNCP36667";"RNCP36667BC02";"Développer une stratégie RSE dans le Sport en lien avec les orientations générales de l’organisation"
"RNCP36667";"RNCP36667BC04";"Concevoir et mettre en en œuvre la stratégie de développement commercial d’une organisation sportive"
"RNCP36668";"RNCP36668BC04";"Soutien au déploiement de la politique de responsabilité sociale et environnementale de l'organisation"
"RNCP36668";"RNCP36668BC01";"Gestion sociale et Administration du personnel"
"RNCP36668";"RNCP36668BC02";"Mise en oeuvre du processus de recrutement en lien avec les directions opérationnelles"
"RNCP36668";"RNCP36668BC03";"Participation à la gestion du développement des compétences des collaborateurs"
"RNCP36669";"RNCP36669BC06";"Option B : Mettre en œuvre une politique de gestion de patrimoine "
"RNCP36669";"RNCP36669BC08";"Option D : Piloter un audit de performance d’une organisation/d’une entreprise"
"RNCP36669";"RNCP36669BC09";"Option E : Mettre en place une stratégie de gestion des ressources humaines "
"RNCP36669";"RNCP36669BC10";"Option F : Manager de la data orientée business intelligence (stratégie, webmarketing et sales)"
"RNCP36669";"RNCP36669BC11";"Option G : Gestion d’une chaine logistique (Supply Chain)"
"RNCP36669";"RNCP36669BC01";"Concevoir la stratégie d’une direction et/ou d’une organisation"
"RNCP36669";"RNCP36669BC02";"Planifier, optimiser, gérer le budget et la coordination des aspects financiers d’une direction et/ou d’une organisation"
"RNCP36669";"RNCP36669BC03";"Manager un projet de transformation et/ou d’innovation dans un contexte national et/ou international"
"RNCP36669";"RNCP36669BC04";"Manager des hommes et des équipes"
"RNCP36669";"RNCP36669BC05";"Option A : Mettre en œuvre une politique d’expertise financière/de traitement global des risques financiers au sein d’une entreprise internationale"
"RNCP36669";"RNCP36669BC07";"Option C : Mettre en place une stratégie de développement business en France ou à l’international (entreprenariat)"
"RNCP36670";"RNCP36670BC03";"Qualification des moyens d’essais, pré-industrialisation pour l’aéronautique et l’espace"
"RNCP36670";"RNCP36670BC01";"Conception de produits multi physiques pour l’aéronautique et l’espace "
"RNCP36670";"RNCP36670BC04";"Mise en place des systèmes de production pour l’aéronautique et l’espace."
"RNCP36670";"RNCP36670BC05";"Optimisation des processus  (systèmes et procédés aéronautiques)"
"RNCP36670";"RNCP36670BC02";"Définition et conception des systèmes de production pour l’aéronautique et l’espace."
"RNCP36671";"RNCP36671BC07";"Conduire des projets dans le domaine du numérique, de la science des données et de l’intelligence artificielle, et celui des réseaux et de l’Internet des Objets"
"RNCP36671";"RNCP36671BC01";"Concevoir, développer et maintenir des solutions logicielles et d’architectures informatiques répondant aux besoins d’une entreprise, un organisme de recherche scientifique ou une administration"
"RNCP36671";"RNCP36671BC02";"Mettre en œuvre des solutions de stockage, de gestion et de protection des connaissances et des données, potentiellement massives, au sein d’une entreprise, un organisme de recherche scientifique ou une administration"
"RNCP36671";"RNCP36671BC03";"Explorer, analyser et extraire des informations pertinentes à partir de données, internes ou externes à une entreprise, un organisme de recherche scientifique ou une administration"
"RNCP36671";"RNCP36671BC05";"Concevoir, déploier et maintenir une architecture de communication à courte, moyenne ou longue portée pour l’échange et la collecte de données"
"RNCP36671";"RNCP36671BC06";"Concevoir et intégrer de nouveaux services et usages de l’Internet Global"
"RNCP36671";"RNCP36671BC04";"Mettre en œuvre des chaînes de traitement pour l’exploitation et la valorisation des données internes ou externes à une entreprise, un organisme de recherche scientifique ou une administration"
"RNCP36672";"RNCP36672BC06";"Collecter et gérer des données biologiques"
"RNCP36672";"RNCP36672BC01";"Développer des solutions innovantes en science des données pour le vivant  "
"RNCP36672";"RNCP36672BC02";"Concevoir des plans expérimentaux dans le domaine de la biologique et de la science du vivant"
"RNCP36672";"RNCP36672BC03";"Exploiter et déployer l'outil bioinformatique"
"RNCP36672";"RNCP36672BC04";"Contrôler et optimiser les processus ou les systèmes biologiques par la modélisation ou la simulation"
"RNCP36672";"RNCP36672BC05";"Déployer la démarche qualité "
"RNCP36673";"RNCP36673BC06";"Mettre en place, améliorer, maintenir des moyens et process de maintenance dans le respect des réglementations et des cahiers des charges des constructeurs "
"RNCP36673";"RNCP36673BC05";"Modéliser des systèmes mécatroniques"
"RNCP36673";"RNCP36673BC04";" Manager un projet mécatronique ou une unité de production industrielle, un Service après vente, une concession automobile, etc."
"RNCP36673";"RNCP36673BC03";"Mettre en place, exploiter une veille technologique et réglementaire et communiquer les résultats pour le transfert des connaissances"
"RNCP36673";"RNCP36673BC02";"Evaluer, Qualifier et tester des systèmes mécatroniques"
"RNCP36673";"RNCP36673BC01";"Concevoir, réaliser, optimiser et modifier des systèmes mécatroniques"
"RNCP36674";"RNCP36674BC04";"Maintenir, corriger et faire évoluer le SI"
"RNCP36674";"RNCP36674BC05";"Former et assurer la fonction support utilisateurs du SI"
"RNCP36674";"RNCP36674BC01";"Planifier la mise en place et l'évolution d'un SI"
"RNCP36674";"RNCP36674BC02";"Concevoir et développer un SI"
"RNCP36674";"RNCP36674BC03";"Déployer et exploiter le SI sur site"
"RNCP36675";"RNCP36675BC04";"Piloter l'évolution d'une organisation et conduire les transitions et ses impacts/aménagements sur le territoire en intégrant les enjeux environnementaux, énergétiques, numériques, technologiques, sociaux,  sociétaux, démographiques ... "
"RNCP36675";"RNCP36675BC01";"Évaluer l’impact environnemental d’un procédé, d’un service, d’un produit, pour l'éco-concevoir"
"RNCP36675";"RNCP36675BC02";"Concevoir et gérer des procédés de production d'économie circulaire"
"RNCP36675";"RNCP36675BC03";"Gérer des projets environnementaux globaux au sein d’un service, d’une entreprise, d’un territoire en transition"
"RNCP36676";"RNCP36676BC02";"Recueillir de l’information dans la sphère industrielle de défense   "
"RNCP36676";"RNCP36676BC01";"Piloter les missions de contre ingérence économique"
"RNCP36676";"RNCP36676BC03";"Conduire des actions de conseil et de contrôle sur la Protection du PSTN"
"RNCP36677";"RNCP36677BC02";"Participer à la politique commerciale et commercialiser l’offre  de l’entreprise"
"RNCP36677";"RNCP36677BC03";"Maîtriser les fondements de la gestion budgétaire et de l’analyse financière"
"RNCP36677";"RNCP36677BC01";"Contribuer à définir la stratégie marketing et assurer sa mise en œuvre"
"RNCP36677";"RNCP36677BC04";"Manager un projet, une activité, une équipe"
"RNCP36678";"RNCP36678BC06";"Concevoir et piloter des solutions innovantes de Marketing Digital"
"RNCP36678";"RNCP36678BC02";"Mobiliser et produire des savoirs hautement spécialisés"
"RNCP36678";"RNCP36678BC05";"Elaborer et piloter une vision stratégique de marketing digital dans un environnement complexe et globalisé"
"RNCP36678";"RNCP36678BC07";"Piloter, contrôler et optimiser la performance marketing de l'organisation selon les règles et normes en vigueur"
"RNCP36678";"RNCP36678BC01";"Appréhender les codes des espaces hybrides (numériques et humains) et s'approprier et maîtriser les outils experts de son domaine,  tout en anticipant l'impact des évolutions technologiques sur l’organisation"
"RNCP36678";"RNCP36678BC04";"Manager en responsabilité au sein de son organisation"
"RNCP36678";"RNCP36678BC08";"Identifier les leviers de son développement personnel et professionnel pour pourvoir s'adapter aux évolutions du secteur du marketing digital"
"RNCP36678";"RNCP36678BC03";"Communiquer efficacement dans des contextes multiculturels et multi situationnels et savoir transférer ses connaissances dans l’exercice de ses fonctions de manager"
"RNCP36679";"RNCP36679BC05";"Elaborer et piloter une vision stratégique financière dans un environnement complexe et globalisé"
"RNCP36679";"RNCP36679BC03";"Communiquer efficacement dans des contextes multiculturels et multi situationnels  et savoir transférer ses connaissances dans l’exercice de ses fonctions de manager"
"RNCP36679";"RNCP36679BC02";"Mobiliser et produire des savoirs hautement spécialisés"
"RNCP36679";"RNCP36679BC01";"Appréhender les codes des espaces hybrides (numériques et humains) et s'approprier et maîtriser les outils experts de son domaine,  tout en anticipant l'impact des évolutions technologiques sur l’organisation"
"RNCP36679";"RNCP36679BC07";"Piloter, contrôler et optimiser la performance financière de l'organisation selon les règles et normes en vigueur"
"RNCP36679";"RNCP36679BC08";"Identifier les leviers de son développement personnel et professionnel pour pourvoir s'adapter aux évolutions du secteur de la finance internationale"
"RNCP36679";"RNCP36679BC06";"Concevoir et piloter des solutions innovantes de gestion financière"
"RNCP36679";"RNCP36679BC04";"Manager en responsabilité au sein de son organisation"
"RNCP36680";"RNCP36680BC07";"Piloter, contrôler et optimiser la performance supply chain de l'organisation selon les règles et normes en vigueur"
"RNCP36680";"RNCP36680BC08";"Identifier les leviers de son développement personnel et professionnel pour pourvoir s'adapter aux évolutions du secteur de la Supply chain"
"RNCP36680";"RNCP36680BC01";"Appréhender les codes des espaces hybrides (numériques et humains) et s'approprier et maîtriser les outils experts de son domaine,  tout en anticipant l'impact des évolutions technologiques sur l’organisation"
"RNCP36680";"RNCP36680BC04";"Manager en responsabilité au sein de son organisation"
"RNCP36680";"RNCP36680BC06";"Concevoir et piloter des solutions innovantes de la Supply Chain"
"RNCP36680";"RNCP36680BC05";"Elaborer et piloter une vision stratégique de la Supply Chain dans un environnement complexe et globalisé"
"RNCP36680";"RNCP36680BC03";"Communiquer efficacement dans des contextes multiculturels et multi situationnels  et savoir transférer ses connaissances dans l’exercice de ses fonctions de manager"
"RNCP36680";"RNCP36680BC02";"Mobiliser et produire des savoirs hautement spécialisés"
"RNCP36681";"RNCP36681BC02";"Choisoir et mettre en oeuvre des techniques d'installation ou de maintenance des matériels agrotechnologiques, statiques ou dynamiques "
"RNCP36681";"RNCP36681BC01";"Etablir un diagnostic mécanique et électronique en contexte agricole"
"RNCP36681";"RNCP36681BC05";"Préparer, communiquer et mettre en œuvre des solutions agrotechnologiques"
"RNCP36681";"RNCP36681BC03";"Mettre en oeuvre des techniques de traitement des données agricoles "
"RNCP36681";"RNCP36681BC04";"Interpréter et participer à l'élaboration des solutions agrotechnologiques"
"RNCP36682";"RNCP36682BC08";"Appliquer une démarche qualité à une politique d'achat"
"RNCP36682";"RNCP36682BC05";"Concevoir et déployer une politique de développement"
"RNCP36682";"RNCP36682BC04";"Elaborer et conduire un projet d'innovation et de transformation"
"RNCP36682";"RNCP36682BC03";"Communiquer en contexte professionnel"
"RNCP36682";"RNCP36682BC02";"Intégrer les problématiques de RSE et de développement durable"
"RNCP36682";"RNCP36682BC06";"Manager la supply chain"
"RNCP36682";"RNCP36682BC10";"Accompagner le développement des ressources humaines"
"RNCP36682";"RNCP36682BC09";"Développer son profil managérial"
"RNCP36682";"RNCP36682BC01";"Développer une maitrise avancée des outils numériques"
"RNCP36682";"RNCP36682BC07";"Piloter la performance économique"
"RNCP36683";"RNCP36683BC05";"Education physique et sportive"
"RNCP36683";"RNCP36683BC06";"Prévention-santé-environnement"
"RNCP36683";"RNCP36683BC07";"Langue vivante étrangère"
"RNCP36683";"RNCP36683BC08";"Langue vivante (Bloc facultatif)"
"RNCP36683";"RNCP36683BC09";"Arts appliqués et cultures artistiques (Bloc facultatif)"
"RNCP36683";"RNCP36683BC01";"Réalisation de dorure à la feuille sur pièce sculptée"
"RNCP36683";"RNCP36683BC02";"Exécution d'un dessin d’art appliqué"
"RNCP36683";"RNCP36683BC03";"Français et Histoire-géographie-enseignement moral et civique"
